Direct Dependencies,,,,
Core :: JMX,9.4.51.v20230217,,EPL-1.0; EPL-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0; Apache-2.0,
Core :: JNDI,12.0.4,,EPL-2.0; Apache-2.0,
Core :: JNDI,9.4.51.v20230217,,EPL-2.0; Apache-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Core :: Server,12.0.4,,EPL-2.0; Apache-2.0,
Core :: Utilities :: JSON,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
Core :: XML,12.0.4,,EPL-2.0; Apache-2.0,
disruptor,1.2.21,Apache-2.0,,
Disruptor Framework,4.0.0,Apache-2.0,,
dom4j,20040902.021138,dom4j,,
EasyMock,3.0,Apache-2.0,,
EasyMock,3.3.1,Apache-2.0,,
EasyMock,4.2,Apache-2.0,,
EasyMock,5.2.0,,BSD-3-Clause; Apache-2.0,
Expression Language API (2.1 Maintenance Release),1.0,CDDL-1.1,,
Extended StAX API,2.1.0,BSD-3-Clause,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT OR SAX-PD; Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception,
fastinfoset,2.1.1,Apache-2.0,Apache-1.1; BSD-3-Clause; GPL-2.0-with-classpath-exception; GPL-3.0-only; EPL-2.0,
FindBugs-jsr305,3.0.2,BSD-3-Clause,Apache-2.0; CC-BY-2.5,
"Geronimo Plugins, Connector :: Transaction",2.2.1,Apache-2.0,,
Geronimo TxManager :: Transaction,4.0.0,Apache-2.0,EPL-2.0,
Guava Testing Library,31.1-jre,Apache-2.0,,
H2 Database Engine,1.4.200,EPL-1.0; MPL-2.0,BSD-3-Clause; LGPL-2.1-or-later,
Hamcrest,2.2,Multi-license: BSD-2-Clause OR BSD-3-Clause,BSD-3-Clause,
Hamcrest Library,2.2,BSD-3-Clause,,
howl-logger,0.1.8,BSD-2-Clause,,
HyperSQL Database,2.5.1,Multi-license: BSD-2-Clause OR BSD-3-Clause,BSD-3-Clause,
HyperSQL Database,2.7.2,hsql,BSD-3-Clause,
icu4j,3.4.4,ICU,MIT; GPL-3.0-only,
istack common utility code runtime,3.0.7,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Apache-2.0; Multi-license: CDDL-1.0 OR CDDL-1.1 OR GPL-2.0-with-classpath-exception; CDDL-1.1,
istack common utility code runtime,4.2.0,BSD-3-Clause,GPL-3.0-only; GPL-2.0-with-classpath-exception; EPL-2.0,
J2EE JACC 1.1,1.0.2,Apache-2.0,,
J2EE Management 1.1,1.0.1,Apache-2.0,,
Jackson-annotations,2.16.0,Apache-2.0,,
Jackson-core,2.16.0,Apache-2.0,MIT,
jackson-databind,2.16.0,Apache-2.0,ImageMagick,
Jackson-dataformat-XML,2.16.0,Apache-2.0,,
Jackson-dataformat-YAML,2.16.0,Apache-2.0,,
Jakarta Activation API,2.1.2,BSD-3-Clause,EPL-2.0; GPL-2.0-with-classpath-exception; GPL-3.0-only; EDL-1.0,
Jakarta Messaging API,3.1.0,Multi-license: EPL-1.0 OR EPL-2.0 OR GPL-2.0-with-classpath-exception,Multi-license: EPL-2.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception; Multi-license: BSD-3-Clause OR EPL-2.0 OR GPL-2.0-with-classpath-exception; Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception,
Jansi,2.4.1,Apache-2.0,,
JavaBeans Activation Framework,1.2.0,GPL-2.0-with-classpath-exception; CDDL-1.0,Apache-2.0; GPL-2.0-only; CDDL-1.1,
JavaBeans(TM) Activation Framework,1.1.1,Multi-license: CDDL-1.0 OR CDDL-1.1,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; CDDL-1.0,
Java Concurrency Tools Core Library,4.0.2,Apache-2.0,,
JavaMail API,1.6.2,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.1 OR cockroach OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Apache-2.0,
JavaMail API jar,1.6.2,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Apache-2.0,
Java Object Layout: Core,0.16,GPL-2.0-with-classpath-exception,MIT,
JavaServer Pages(TM) API,2.1,,CDDL-1.0; Apache-2.0; proprietary-license; Apache-1.1,
Java Servlet API,4.0.1,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Apache-2.0; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception,
JavaServlet(TM) Specification,2.4,Apache-2.0,,
JavaServlet(TM) Specification,2.5,,CDDL-1.0; proprietary-license,
JavaServlet(TM) Specification,3.0-alpha-1,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Multi-license: Apache-2.0 OR CDDL-1.0 OR GPL-2.0-with-classpath-exception,
javax.annotation API,1.3.2,CDDL-1.0; GPL-2.0-with-classpath-exception,Apache-2.0; CDDL-1.1,
javax.transaction API,1.3,GPL-2.0-with-classpath-exception; CDDL-1.0,Apache-2.0; CDDL-1.1,
jaxb-api,2.4.0-b180830.0359,GPL-2.0-with-classpath-exception; CDDL-1.0,Apache-2.0; GPL-1.0-only; CDDL-1.1; GPL-2.0-only,
JAXB Core,4.0.4,BSD-3-Clause,GPL-3.0-only; EPL-2.0; GPL-2.0-with-classpath-exception,
JAXB Runtime,4.0.4,BSD-3-Clause,SAX-PD; GPL-3.0-only; EPL-2.0; GPL-2.0-with-classpath-exception,
JAX-WS RI Runtime (jaxws-rt),4.0.2,,BSD-3-Clause; GPL-3.0-only; GPL-2.0-with-classpath-exception; EPL-2.0; SAX-PD,
JBoss Logging 3,3.4.2.Final,Apache-2.0,,
jboss-transaction-api_1.2_spec,1.1.1.Final,Multi-license: GPL-2.0-with-classpath-exception OR public-domain,,
JBoss Transaction SPI,7.6.1.Final,public-domain,LGPL-2.1-or-later,
JCL 1.2 implemented over SLF4J,2.0.9,Apache-2.0,MIT,
JDOM,2.0.2,Multi-license: Apache-2.0 OR Saxpath,Saxpath,
JDOM,2.0.6.1,Multi-license: Apache-2.0 OR Saxpath,Saxpath,
Jencks,2.2,Apache-2.0,,
JeroMQ,0.5.4,MPL-2.0,,
Jettison,1.5.4,Apache-2.0,,
Jetty :: Aggregate :: All Server,7.1.6.v20100715,,NCSA; Apache-2.0,
Jetty :: Schemas,3.1.2,,Multi-license: Apache-2.0 OR EPL-1.0; Apache-2.0,
Jetty :: Schemas,5.2,,Multi-license: Apache-2.0 OR CDDL-1.0 OR EPL-1.0 OR GPL-2.0-with-classpath-exception; Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: Apache-2.0 OR EPL-1.0 OR EPL-2.0; Multi-license: Apache-2.0 OR EPL-1.0; Apache-2.0,
Jetty Toolchain :: Performance Helper,1.0.7,Multi-license: Apache-2.0 OR EPL-1.0,Apache-2.0,
Jetty Toolchain :: Test Helper,6.2,,EPL-2.0; Apache-2.0; GPL-2.0-with-classpath-exception; EPL-1.0; CDDL-1.0,
Jetty :: Webapp Application Support,11.0.18,,EPL-2.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Websocket :: Client,9.4.51.v20230217,,EPL-2.0; Apache-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Websocket :: Server,9.4.53.v20231009,,EPL-1.0; EPL-2.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jimfs,1.2,Apache-2.0,,
JmDNS,3.5.9,Apache-2.0,,
JMH Core,1.27,Multi-license: GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT,
JMH Core,1.32,GPL-2.0-with-classpath-exception,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT,
JMH Generators: Annotation Processors,1.27,Multi-license: GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT,
JMH Generators: Annotation Processors,1.32,GPL-2.0-with-classpath-exception,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT,
jMock,1.1.0,BSD-2-Clause,,
jmock-junit4,2.12.0,BSD-2-Clause,Apache-2.0,
jmock-legacy,2.12.0,BSD-2-Clause,Apache-2.0,
JMS API,2.0.1,Multi-license: CDDL-1.0 OR CDDL-1.1 OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Apache-2.0,
Joda-Time,2.12.5,Apache-2.0,,
jolokia-test-util,1.7.1,Apache-2.0,,
joram-jms-tests,1.0,Apache-2.0,,
josql,1.5,Apache-2.0,,
JSON in Java,20231013,public-domain,Apache-2.0,
JSR-250 Common Annotations for the JavaTM Platform,1.0,CDDL-1.0,,
jsr-275,0.9.1,BSD-2-Clause,,
JTA 1.1,1.1.1,Apache-2.0,,
JTS Topology Suite,1.8,Multi-license: Apache-2.0 OR LGPL-3.0-only,Apache-2.0,
JUnit,3.8.1,Multi-license: CPL-1.0 OR Common Public License Version 1.0,CPL-1.0,
JUnit,4.10,Multi-license: CPL-1.0 OR Common Public License Version 1.0,CPL-1.0,
JUnit,4.12,EPL-1.0,,
JUnit,4.13,EPL-1.0,,
JUnit,4.13.1,EPL-1.0,,
JUnit,4.13.2,EPL-1.0,,
JUnit,4.4,CPL-1.0,,
JUnit,4.8.1,CPL-1.0,CPL-1.0,
JUnit Jupiter (Aggregator),5.10.1,,EPL-2.0; unknown,
JUnit Jupiter (Aggregator),5.8.0-M1,EPL-1.0,EPL-2.0,
JUnit Jupiter (Aggregator),5.8.2,EPL-1.0,EPL-2.0,
JUnit Jupiter Engine,5.10.1,,EPL-2.0; unknown,
JUnit Jupiter Params,5.10.1,,EPL-2.0; unknown,
junit-pioneer,1.3.0,EPL-1.0,EPL-2.0,
junit-pioneer,1.4.2,EPL-1.0,EPL-2.0,
JUnit Vintage Engine,5.10.1,,unknown; EPL-2.0,
JUnit Vintage Engine,5.8.2,EPL-1.0,EPL-2.0,
kXML 2 is a small XML pull parser based on the common XML pull API,2.3.0,MIT,,
Legion of the Bouncy Castle Java Cryptography APIs,140,Bouncy Castle License,,
linkedin-utils,1.9.0,Apache-2.0,,
linkedin-zookeeper,1.5.1,Apache-2.0,,
Logback Classic Module,1.4.14,,LGPL-2.1-only; EPL-1.0,
Maven Plugin API,2.0,Apache-2.0,,
Maven Project,2.0,Apache-2.0,,
mockito-core,3.11.2,MIT,Apache-2.0,
mockito-core,5.8.0,MIT,Apache-2.0,
mockito-inline,3.11.2,MIT,,
MortBay :: Apache EL :: API and Implementation,8.5.70,Apache-2.0,,
MortBay :: Apache Jasper :: JSP Implementation,10.1.16,,CC0-1.0; Apache-2.0,
mqtt-client,1.12,Apache-2.0,,
MXParser,1.2.2,Multi-license: BSD-3-Clause OR Indiana University Extreme! Lab Software License,BSD-3-Clause; xpp,
naming-common,5.0.28,Apache-2.0,,
naming-java,5.0.28,Apache-2.0,,
Narayana: ArjunaJTA narayana-jta,5.12.0.Final,Apache-2.0,,
Old JAXB Runtime,2.3.1,SAX-PD,,
org.eclipse.paho.client.mqttv3,1.2.5,EPL-1.0,,
org.osgi.core,6.0.0,Apache-2.0,,
org.osgi:osgi.cmpn,7.0.0,Apache-2.0,,
org.osgi:osgi.core,8.0.0,Apache-2.0,,
PowerMock,2.0.7,Apache-2.0,,
PowerMock,2.0.9,Apache-2.0,,
PowerMock,2.0.9,Apache-2.0,,
PowerMock,2.0.7,Apache-2.0,,
PowerMock,2.0.9,Apache-2.0,,
QDox,2.0.3,Apache-2.0,,
rome,2.1.0,Apache-2.0,,
rome-utils,2.1.0,Apache-2.0,,
SLF4J API Module,1.7.25,MIT,,
SLF4J API Module,2.0.9,MIT,,
SLF4J Extensions Module,2.0.9,MIT,,
SLF4J JDK14 Provider,2.0.9,MIT,,
SLF4J Simple Provider,1.7.30,MIT,,
Spring AOP,6.1.2,Apache-2.0,,
Spring Beans,4.0.0.RELEASE,Apache-2.0,,
Spring Beans,6.1.2,Apache-2.0,,
Spring Context,6.1.2,Apache-2.0,,
Spring Context Support,6.1.2,Apache-2.0,,
Spring Core,4.0.0.RELEASE,Apache-2.0,BSD-3-Clause,
Spring Core,6.1.2,,Apache-2.0; BSD-3-Clause,
Spring Expression Language (SpEL),6.1.2,Apache-2.0,,
Spring JDBC,6.1.2,Apache-2.0,,
Spring JMS,6.1.2,Apache-2.0,,
Spring TestContext Framework,6.1.2,Apache-2.0,,
Spring Transaction,6.1.2,Apache-2.0,,
Spring Web,4.0.0.RELEASE,Apache-2.0,,
Spring Web,6.1.2,,Apache-2.0; IETF,
Spring Web MVC,6.1.2,Apache-2.0,,
StAX,1.1.2-dev,GPL-2.0-or-later,,
StAX API,1.0.1,Apache-2.0,,
testng,7.8.0,Apache-2.0,,
tomcat-servlet-api,11.0.0-M15,CDDL-1.0; EPL-2.0; Apache-2.0,GPL-2.0-with-classpath-exception; CDDL-1.1,
TXW2 Runtime,2.2.11,SAX-PD,,
WireMock,3.0.1,Apache-2.0,,
Woodstox,6.4.0,Apache-2.0,,
Woodstox,6.5.1,Apache-2.0,ImageMagick,
xalan,2.7.1,,W3C-19980720; Apache-2.0; Multi-license: Apache-2.0 OR TCL,
XMLWriter,0.2,public-domain,,
XOM,1.3.9,LGPL-2.1-only,LGPL-3.0-only,
xpp3,1.1.3.4.O,,xpp; Apache-1.1,
xpp3_min,1.1.3.4.O,public-domain,,